"Currency","Client","Properties","Emp ID","Site ID","Auth Date","System Batch No.","Merchant Batch No.","TPP Batch No.","Voyage Number","Merchant ID","PAYMENT_TYPE","Count","Tip","Amount","Notes","Note Type"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","AX","7"," ","1285.03","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","MC","6"," ","1597.53","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","VI","24"," ","4225.78","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","DI","1"," ","54.62","0","0"
