"Currency","Client","Properties","Emp ID","Site ID","Auth Date","System Batch No.","Merchant Batch No.","TPP Batch No.","Voyage Number","Merchant ID","PAYMENT_TYPE","Count","Tip","Amount","Notes","Note Type"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","AX","4"," ","608.51","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","MC","10"," ","1879.11","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","VI","30"," ","5628.19","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","DI","2"," ","912.25","0","0"
