"Currency","Client","Properties","Emp ID","Site ID","Auth Date","System Batch No.","Merchant Batch No.","TPP Batch No.","Voyage Number","Merchant ID","PAYMENT_TYPE","Count","Tip","Amount","Notes","Note Type"
"USD","Taos Ski Valley","1250728","","0"," ","0","","0","","","AX","2"," ","5991.73","0","0"
"USD","Taos Ski Valley","1250728","","0"," ","0","","0","","","DI","1"," ","465.11","0","0"
"USD","Taos Ski Valley","1250728","","0"," ","0","","0","","","MC","1"," ","1149.10","0","0"
"USD","Taos Ski Valley","1250728","","0"," ","0","","0","","","VI","4"," ","2592.58","0","0"
