"Currency","Client","Properties","Emp ID","Site ID","Auth Date","System Batch No.","Merchant Batch No.","TPP Batch No.","Voyage Number","Merchant ID","PAYMENT_TYPE","Count","Tip","Amount","Notes","Note Type"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","AX","8"," ","3946.12","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","MC","2"," ","227.23","0","0"
"USD","Taos Ski Valley","1250710","","0"," ","0","","0","","","VI","17"," ","2921.39","0","0"
